firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,tot_white,tot_black,tot_api,tot_aian,tot_2prace,tot_hispanic,white_pct,black_pct,api_pct,aian_pct,mult_pct,hisp_pct
AGATA,48,0.02083,0.97917,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.143455668386281e-5,0,0,0,0,5.459053810906886e-6
AGATHA,36,0.02778,0.6111099999999999,0.16667,0.02778,0.02778,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.0033144348076993e-5,5.357899807045367e-5,2.258961518066051e-4,2.258961518066051e-4,0,5.460364193482716e-6
AGNES,352,0.03125,0.6789799999999999,0.10795,0.005679999999999999,0.005679999999999999,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.0899706776780391e-4,3.3931258046177856e-4,4.5161160114796207e-4,4.5161160114796207e-4,0,6.005920139219849e-5
AGNIESZKA,104,0.01923,0.96154,0.00962,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,4.560535746932245e-5,8.933940652774859e-6,0,0,0,1.0919418004389601e-5
AGUSTIN,239,0.8995799999999999,0.05857999999999999,0.00418,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,6.3850225828853195e-6,8.920903357323621e-6,0,0,0,0.0011738823160751042
AHMAD,163,0.00613,0.67485,0.03681,0.012270000000000001,0.012270000000000001,0.00613,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,5.016606378001872e-5,5.357819440155599e-5,4.5175842190097614e-4,4.5175842190097614e-4,2.4184931747452365e-4,5.455504858097346e-6
AHMED,176,0.011359999999999999,0.6534099999999999,0.08523,0,0,0.02273,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,5.2446150144452534e-5,1.3394910251392952e-4,0,0,9.682976786902213e-4,1.0916360445045996e-5
AHMET,32,0.0625,0.90625,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.3225532505251502e-5,0,0,0,0,1.0919854798581544e-5
AI,31,0.03226,0.09677,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.3680992481561663e-6,0,0,0,0,5.460254994934729e-6
AIDA,214,0.45793999999999996,0.3785,0.00935,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,3.693982439285746e-5,1.7867345526284596e-5,0,0,0,5.350682987914801e-4
AILEEN,186,0.09140000000000001,0.65591,0.021509999999999998,0,0,0.00538,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,5.563810961195273e-5,3.5726297177415654e-5,0,0,2.4220996508212284e-4,9.282094975890285e-5
AIMEE,611,0.02782,0.9345300000000001,0.0032700000000000003,0.00164,0.00164,0.00164,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.604051848652783e-4,1.7841181638837943e-5,2.2633887284646286e-4,2.2633887284646286e-4,2.4253914679107246e-4,9.280795513169254e-5
AISHA,72,0.05556,0.25,0.59722,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,8.208951210156104e-6,3.8397371125741084e-4,0,0,0,2.1841456773930864e-5
AJAY,154,0.00649,0.25325,0.00649,0.01948,0.01948,0.00649,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.778628898176073e-5,8.92483240526783e-6,6.77616174433716e-4,6.77616174433716e-4,2.4191466972556513e-4,5.456979038495155e-6
AJIT,68,0.01471,0.20588,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,6.3846668616662134e-6,0,0,0,0,5.4614561789625735e-6
AKBAR,31,0,0.48387,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,6.840778993544737e-6,0,0,0,0,0
AKIKO,33,0.030299999999999997,0.27273,0.030299999999999997,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,4.104516649834102e-6,8.928761453212038e-6,0,0,0,5.459381406550843e-6
AL,92,0.054349999999999996,0.73913,0.10869999999999999,0.01087,0.01087,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,3.101157521847593e-5,8.930011604830649e-5,2.2588711668334268e-4,2.2588711668334268e-4,0,2.7300728981933716e-5
ALAIN,114,0.14035,0.66667,0.10525999999999999,0,0,0.00877,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,3.466018952074021e-5,1.0715263834825612e-4,0,0,2.4199212424531796e-4,8.735829239591243e-5
ALAINA,55,0.01818,0.94545,0.01818,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.3714633927239715e-5,8.92876145321204e-6,0,0,0,5.459381406550844e-6
ALAN,4795,0.01502,0.92471,0.01064,0.00104,0.00104,6.3e-4,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,0.0020221312231467137,4.555802528544198e-4,0.0011264088171238083,0.0011264088171238083,7.311827687355906e-4,3.9322888523158077e-4
ALANA,153,0.05229,0.84967,0.08497,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,5.928664638523338e-5,1.160891686008124e-4,0,0,0,4.368143936746392e-5
ALANE,22,0,1,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.0033162590190794e-5,0,0,0,0,0
ALANNA,53,0,0.96226,0,0.01887,0.01887,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.3258594763816397e-5,0,2.2590292814905188e-4,2.2590292814905188e-4,0,0
ALASTAIR,18,0,1,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,8.208951210156104e-6,0,0,0,0,0
ALBA,113,0.82301,0.16814,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,8.664921965652676e-6,0,0,0,0,5.077739579246037e-4
ALBERT,2425,0.09526,0.75093,0.07464,0.0020599999999999998,0.0020599999999999998,0.00165,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,8.304746250382288e-4,0.0016162853090851937,0.001128373956433381,0.001128373956433381,9.684840536283767e-4,0.0012612732588368643
ALBERTA,132,0.07576,0.62879,0.27273,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,3.7852513830516414e-5,3.2147077374713117e-4,0,0,0,5.4601021169675484e-5
ALBERTO,674,0.81306,0.11128,0.00445,0.00297,0.00297,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,3.420520383938886e-5,2.6782712497868653e-5,4.521582261053375e-4,4.521582261053375e-4,0,0.0029920535370341972
ALDEN,38,0.07894999999999999,0.78947,0.02632,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.3681521502861873e-5,8.931083163360888e-6,0,0,0,1.6380328190612245e-5
ALDO,114,0.58772,0.37719,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.9610117277405618e-5,0,0,0,0,3.6581557254667367e-4
ALEC,109,0,0.89908,0.018349999999999998,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,4.46930511160533e-5,1.7860648285470602e-5,0,0,0,0
ALECIA,89,0.02247,0.78652,0.16854,0.02247,0.02247,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,3.192382684540368e-5,1.3394535205907366e-4,4.517177638462953e-4,4.517177638462953e-4,0,1.0918926610923664e-5
ALEJANDRA,183,0.8797799999999999,0.08743000000000001,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,7.296704143756807e-6,0,0,0,0,8.790468917046903e-4
ALEJANDRO,821,0.90134,0.06942999999999999,0.00122,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.5995937952769694e-5,8.944120458812122e-6,0,0,0,0.004040347039865007
ALEKSANDAR,30,0,1,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.3681585350260174e-5,0,0,0,0,0
ALEKSANDER,33,0,0.9697,0,0,0,0.030299999999999997,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.4593736645562021e-5,0,0,0,2.4202116969022526e-4,0
ALEKSANDR,185,0.005410000000000001,0.98378,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,8.300129855458688e-5,0,0,0,0,5.46456833758017e-6
ALEKSANDRA,47,0,1,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.1434483715407608e-5,0,0,0,0,0
ALEKSEY,53,0,0.96226,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.3258594763816397e-5,0,0,0,0,0
ALEN,31,0.03226,0.90323,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.276953894711268e-5,0,0,0,0,5.460254994934729e-6
ALENA,58,0.01724,0.8620699999999999,0.08621000000000001,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.280266961360432e-5,4.464987943106488e-5,0,0,0,5.459490605098828e-6
ALENE,31,0,0.8709699999999999,0.06452,0,0,0.03226,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.2313458738933307e-5,1.7860380395838044e-5,0,0,2.4205989695010168e-4,0
